sentence,wav
Would you like help resetting your password?,zeroshot-goodones/servicenow_2.wav
You have a new service request assigned to you.,zeroshot-goodones/servicenow_3.wav
Welcome to ServiceNow—how can I simplify your workflow today?,zeroshot-goodones/servicenow_5.wav
I can help you schedule a meeting with HR. Just let me know your preferred date.,zeroshot-goodones/servicenow_9.wav
Would you like to escalate this ticket for faster resolution?,zeroshot-goodones/servicenow_10.wav
ServiceNow AI Agent has generated a solution for your request.,zeroshot-goodones/servicenow_13.wav
You have new company policy documents to review.,zeroshot-goodones/servicenow_14.wav
Let me fetch the latest knowledge articles for your query.,zeroshot-goodones/servicenow_16.wav
A technician will arrive at your location by 3 PM.,zeroshot-goodones/servicenow_17.wav
This resource is currently unavailable. Would you like to submit a new ticket?,zeroshot-goodones/servicenow_25.wav
"Your scheduled system maintenance is set for Sunday, October 12th from 1 AM to 5 AM, during which time all services will be temporarily unavailable to apply necessary updates and security patches",zeroshot-goodones/datetime.wav
"A certified technician is booked to visit your office on Wednesday September 24th at 3:30 PM, the onsite repair service has an estimated duration of 90 minutes and a fixed cost of $120 plus applicable taxes.",zeroshot-goodones/datetime.wav

